Scientist,University,Degree,isPostGrad
a2db3c4f-f078-45a9-a4f0-13ea09e46575,Lund University,master of science (ms) astrophysics,TRUE
6108b9a2-7f08-4cab-9e71-3cc05471f94e,Yale University,"phd quantitative social science with ""distinction.""",TRUE
e9935136-2cd8-40ee-957f-9d4666db7643,Washington University in St. Louis,"b.s., m.s. electrical engineering",TRUE
8622e45a-37a5-4d8c-a100-32a6d476f43b,University of Washington,doctor of philosophy (ph.d.) physics,TRUE
5b620d27-7e0e-48dd-9b0e-aedc6635f908,Yale University,doctor of philosophy (ph.d.) computational biology and bioinformatics,TRUE
6990fbf5-e043-446e-a7b1-92c2a4780560,National University of Singapore,master of science - ms business analytics,TRUE
2d547bb0-7181-4516-a28f-06c453d63fa6,University of Waterloo,master of science - ms management science,TRUE
2d547bb0-7181-4516-a28f-06c453d63fa6,York University,phd student economics,TRUE
2d547bb0-7181-4516-a28f-06c453d63fa6,York University,"master of arts - ma economics summa cum laude, 8.7/9.0",TRUE
087ec7f4-14bd-4921-a962-82271b9a4617,"London School of Hygiene and Tropical Medicine, U. of London","master of science (m.sc.), distinction medical statistics",TRUE
9c96cb58-aef7-44c5-90d6-c3797e941c12,"University of Technology, Sydney","doctor of philosophy (phd) information technology, big data",TRUE
9c96cb58-aef7-44c5-90d6-c3797e941c12,Tsinghua University,master intergrated circuit design 84.3/100,TRUE
ebb73f0a-7a6a-4385-8d61-76a4bbd74cd5,Carnegie Mellon University,"master's degree management information systems, general 4.0",TRUE
3739e4fe-b5e1-4f14-a1c2-e24a90a85052,TU Kaiserslautern,doctor of philosophy (phd) applied mathematics and mechanics,TRUE
3739e4fe-b5e1-4f14-a1c2-e24a90a85052,TU Braunschweig,master’s degree computational sciences in engineering,TRUE
36a64a8a-dd22-45e8-9536-b8fad94f834e,Albert Einstein College of Medicine,master of biochemistry computational biology,TRUE
279ef508-090b-4e53-8656-8206bf6a1899,DePaul University,master of science (m.s.) predictive analytics 4.0/4.0,TRUE
279ef508-090b-4e53-8656-8206bf6a1899,Renmin University of China,master of arts (m.a.) marketing,TRUE
18868788-878a-421a-b3e9-787dcce608ee,Carnegie Mellon University,master of information systems management data science,TRUE
f4c3525e-fd22-4c46-8202-ce68be30303e,University of Sydney,master of mathematical sciences mathematics,TRUE
dc0b5e11-b32b-45c1-9d74-54c8c879fa08,"University of California, Riverside",master's degree data science,TRUE
26fa5aa1-1348-4d27-a408-91447816f40b,Istanbul Technical University,"master of computer science data mining, machine learning 3.33 / 4.00",TRUE
0aad5595-5604-496f-9251-b68f8a899403,Ivan Franko National University of Lviv,"management information systems, general",TRUE
124d8a86-41ba-456d-b287-8dbdd7d2e3b1,North Carolina State University,"doctor of philosophy (phd) industrial engineering, concentration in operations research, minor in statistics gpa: 3.95",TRUE
124d8a86-41ba-456d-b287-8dbdd7d2e3b1,North Carolina State University,master of engineering - meng industrial engineering 3.96,TRUE
29de4809-38b1-4cc2-a6aa-36f187be6513,"Indian Institute of Technology, Kanpur",master of science (msc) mathematics and scientific computing,TRUE
0c8aed2c-4d39-4c06-b643-970cacd91893,Kyushu Institute of Technology,"master’s degree advanced assistive robotics, machine learning 3.71/4",TRUE
3f81be94-99b6-4464-a5e2-1ebb343fd457,Cornell University,master's degree applied statistics,TRUE
3208baf7-17d1-44cc-90a4-6d9635873d76,San Jose State University,master of science - ms materials engineering,TRUE
c19af391-e355-41ef-99ca-340358c3d6fa,Stanford University,"m.s., ph.d computational mathematics & engineering cumulative gpa: 4.07",TRUE
0983d9a0-31b0-45cc-9fe2-0d84fb5a2a9c,University of North Carolina at Chapel Hill,doctor of philosophy (ph.d.) mathematics,TRUE
0034909c-7056-4900-920b-64e335e77b8e,Penn State University,doctor of philosophy - phd network science,TRUE
0034909c-7056-4900-920b-64e335e77b8e,Fordham University,"ms statistics, machine learning",TRUE
644f0ab5-135c-41af-8b79-f655c2536d07,Columbia University in the City of New York,ms data science,TRUE
644f0ab5-135c-41af-8b79-f655c2536d07,Jawaharlal Nehru University,master of computer applications (mca) computer science,TRUE
b27ee332-066a-42d3-94c5-1acf94fe9269,University of Minnesota,phd statistics,TRUE
858a55d0-5735-4f16-bfaa-8ea7bc9f6ac0,University of Warwick - Warwick Business School,master of business administration - mba,TRUE
858a55d0-5735-4f16-bfaa-8ea7bc9f6ac0,University of Leicester,msc financial economics,TRUE
57816360-101c-4f3d-b4c4-1eba3cd614f3,University of Minnesota - Carlson School of Management,master's degree business analytics,TRUE
ab97afbd-e76f-441a-8a35-8af551946790,University of Oklahoma,master of science (m.s.) chemistry,TRUE
d3b1e7bf-4dbb-4c6d-ad44-a7c2e41c002b,RMIT University,master of data science gpa 4.0,TRUE
b83a13cb-f6b5-4e77-84d2-8c582ccb56ef,RMIT University,master of data science gpa 4.0,TRUE
e1d7a5bf-f030-4ba0-86a0-ae89ae9f4651,Swinburne University of Technology,doctor of philosophy (ph.d) neuroimaging & psychoneuroimmunology,TRUE
5c0cecee-76bc-4d55-9237-8d2e4919fac9,Brown University School of Engineering,doctor of philosophy - phd engineering a,TRUE
5c0cecee-76bc-4d55-9237-8d2e4919fac9,Brown University,master of arts - ma chemistry a,TRUE
5c0cecee-76bc-4d55-9237-8d2e4919fac9,Brown University School of Engineering,master of science - ms engineering a,TRUE
5c9c3565-61ec-470a-86ab-d26667111a82,University of Milano-Bicocca,master's degree in statistics for enterprises 110/110 cum laude,TRUE
3ac08b53-62a4-4145-98ba-2b192705f9f7,The University of Connecticut Health Center,ph.d. biomedical research 3.631 (unofficial transcript),TRUE
f25156bf-a06f-4384-9d71-02652c451fa1,"University of California, Santa Cruz",doctor of philosophy (ph.d.) physical chemistry,TRUE
8562a570-7e67-4b7f-9f8a-c1e2dfd096d8,UC Irvine,doctor of philosophy - phd physics,TRUE
c7db160f-f92d-44df-be62-6225d13c51e8,"Indian Institute of Technology, Kanpur",master of technology (m.tech.) computer science cgpa : 8,TRUE
cdcd4a50-dcf0-424b-8e87-1403238ad319,"Indian Institute of Technology, Kharagpur",master of science (msc) mathematics and computer science,TRUE
f3387589-f4c8-4971-bc97-34455ada2738,The Australian National University,master of mathematics high distinction,TRUE
f2e78aa2-45c6-4288-a244-c26e393fd6a5,"University of California, Berkeley - School of Information",master's degree information and data science (mids),TRUE
6f68f15f-1bc7-47f4-8da7-68de7bb6fda9,University of Melbourne,doctor of philosophy (ph.d.) applied statistics,TRUE
a2b6052f-9925-453c-ab25-d241a336b52b,Ternopil National Pedagogical University,master's degree applied mathematics with honours,TRUE
1d172646-0808-4952-90ac-f42d06470200,University of Oxford,doctor of philosophy (ph.d.) molecular genetics,TRUE
1d172646-0808-4952-90ac-f42d06470200,Imperial College London,master’s degree applied ecology distinction,TRUE
bf0819e2-1fe9-42f6-9993-34d3d25449f5,The University of Bonn,doctor of philosophy (phd) astrophysics magna cum laude,TRUE
bf0819e2-1fe9-42f6-9993-34d3d25449f5,Università di Bologna,master of science (m.sc.) astronomy and astrophysics summa cum laude,TRUE
08ca294a-9f34-4ef7-ab78-ca65053a6fe1,Georgia Institute of Technology,doctor of philosophy (phd) operations research,TRUE
08ca294a-9f34-4ef7-ab78-ca65053a6fe1,Georgia Tech,master of science (m.s.) operations research,TRUE
39177b15-849a-4583-bc2f-bd99c0215c86,University of San Francisco,master's degree data science,TRUE
